alg,totalTime,genOmegaTime,dgemm1Time,dgemm2Time,all2allTime,reduceScatterTime,reduceScatter1Time,reduceScatter2Time,unpackTime,packTime
Algo-1Dred-4,0.24833760000000002,0.042681,0.11884953333333331,0.0023732,0.0408822,0.0,0.0,0.0,0.007804533333333334,0.0
Algo-1Dred-8,0.2289059,0.0537126,0.1043253,0.0073298,0.01925,0.0,0.0,0.0,0.010376100000000001,0.0
Algo-1Dred-16,0.2293647,0.0654747,0.0669988,0.0074043,0.0320555,0.0,0.0,0.0,0.0140644,0.0
Algo-1Dred-32,0.28828450000000005,0.09071769999999998,0.052282499999999996,0.007439300000000001,0.0423463,0.0,0.0,0.0,0.0206321,0.0
Algo-1Dred-64,0.30014029999999997,0.08481790000000002,0.039724100000000005,0.007684000000000001,0.04434010000000001,0.0,0.0,0.0,0.024377899999999997,0.0
Algo-1Dred-128,0.3704428,0.08856359999999999,0.0358987,0.007676,0.1024839,0.0,0.0,0.0,0.0442103,0.0
Algo-1Dnored-4,0.22960493333333337,0.04577966666666667,0.1188738,0.003371066666666667,0.0,0.015892133333333332,0.0,0.0,0.0,0.0
Algo-1Dnored-8,0.21315520000000002,0.0473112,0.1037895,0.0044313,0.0,0.025525899999999997,0.0,0.0,0.0,0.0
Algo-1Dnored-16,0.19906200000000002,0.052576500000000005,0.0671636,0.001388,0.0,0.0263455,0.0,0.0,0.0,0.0
Algo-1Dnored-32,0.4966042,0.0784749,0.0522807,0.0010683,0.0,0.04035470000000001,0.0,0.0,0.0,0.0
Algo-1Dnored-64,0.9018878000000001,0.08420989999999999,0.039720500000000006,0.0009105000000000001,0.0,0.055538,0.0,0.0,0.0,0.0
Algo-1Dnored-128,1.5346689,0.0873905,0.03812710000000001,0.0009057000000000001,0.0,0.0867136,0.0,0.0,0.0,0.0

